Scan Code,Modifier,Description,Price,Cost,Units/Case,Department # In register,Tax Type # In register,Is Foodstampable,Current Inventory,Price Group Name,Vendor Name,Linked Item
072311412131,,DOS EQUIS SPECIAL LAGER 2/12/12OZ CAN,21.59,,2,,,,,,,
072311630122,,DOS EQUIS SPECIAL LAGER 4/6/12OZ BTL,12.59,,4,,,,,,,
8.60007E+11,,EIGHT ELITE LIGHT LAGER 4/6/12OZ CAN,10.99,,4,,,,,,,
8.49806E+11,,FOUR LOKO USA 12/23.5OZ CAN,3.99,,12,,,,,,,
083820123937,,GUINNESS EXTRA STOUT 4/6/11.2OZ BTL,12.59,,4,,,,,,,
072890006219,,HEINEKEN 0.0 4/6/11.2OZ BTL,12.59,,4,,,,,,,
072890004789,,HEINEKEN 12/22OZ BTL,3.99,,12,,,,,,,
072890001191,,HEINEKEN 12/24OZ CAN,3.99,,12,,,,,,,
072890000163,,HEINEKEN 2/12/12OZ BTL,22.59,,2,,,,,,,
072890000118,,HEINEKEN 4/6/12OZ BTL,12.59,,4,,,,,,,
072890006691,,HEINEKEN SILVER 12/24OZ CAN,3.99,,12,,,,,,,
072890006677,,HEINEKEN SILVER 2/12/12OZ CAN,19.59,,2,,,,,,,
082184226056,,JD COUNTRY COCKTAIL BLK JACK COLA 4/6/10OZ BTL,10.99,,4,,,,,,,
071990480240,,KEYSTONE LIGHT 12/24OZ CAN,2.99,,12,,,,,,,
071990480455,,KEYSTONE LIGHT 2/15/12OZ CAN,16.99,,2,,,,,,,
071990480080,,KEYSTONE LIGHT 4/6/16OZ CAN,9.59,,4,,,,,,,
8.5775E+11,,MANHATTAN DOUBLE HALF-LIFE 4/6/12OZ CAN,14.79,,4,,,,,,,
8.5775E+11,,MANHATTAN HALF-LIFE 4/6/12OZ CAN,12.79,,4,,,,,,,
6.35985E+11,,MIKEHRD LEMONADE 4/6/11.2OZ BTL,11.69,,4,,,,,,,
6.35985E+11,,MIKEHRDR CRANBERRY LEMON 24/16OZ CAN,2.19,,24,,,,,,,
6.35986E+11,,MIKEHRDR HALF & HALF 12/23.5OZ CAN,3.99,,12,,,,,,,
6.35985E+11,,MIKEHRDR LEMONADE 12/23.5OZ CAN,3.99,,12,,,,,,,
6.35985E+11,,MIKEHRDR LEMONADE 24/16OZ CAN,2.19,,24,,,,,,,
034100000097,,MILLER HIGH LIFE 12/40OZ BTL,3.69,,12,,,,,,,
034100577070,,MILLER LITE 1/15/16OZ ALUM BTL,24.19,,1,,,,,,,
034100573409,,MILLER LITE 1/18/12OZ CAN - LP,24.69,,1,,,,,,,
034100003555,,MILLER LITE 12/24OZ CAN,3.59,,12,,,,,,,
034100575090,,MILLER LITE 2/12/12OZ BTL,19.79,,2,,,,,,,
034100576363,,MILLER LITE 2/12/12OZ CAN,19.79,,2,,,,,,,
034100576530,,MILLER LITE 2/12/16OZ CAN - LP,19.79,,2,,,,,,,
034100570231,,MILLER LITE 2/9/16OZ ALUM BTL,19.29,,2,,,,,,,
034100575052,,MILLER LITE 4/6/12OZ BTL,11.59,,4,,,,,,,
034100003579,,MILLER LITE 4/6/16OZ CAN,12.89,,4,,,,,,,
033544000212,,MODELITO ESPECIAL 24/7OZ BTL -LP,33.99,,24,,,,,,,
080660957968,,MODELO CHELADA 12/24OZ CAN,3.99,,12,,,,,,,
033544001882,,MODELO CHELADA 2/12/12OZ CAN,22.59,,2,,,,,,,
8.53907E+11,,4 CORNERS EL CHINGON IPA 4/6/12OZ CAN,11.79,,4,,,,,,,
8.53907E+11,,4 CORNERS LOCAL BUZZ 4/6/12OZ CAN,11.79,,4,,,,,,,
071990095116,,BLUE MOON BELGN WHITE 4/6/12OZ BTL,11.79,,4,,,,,,,
071990170288,,COORS BANQUET 4/6/12OZ BTL,11.49,,4,,,,,,,
071990095277,,COORS LIGHT 1/15/16OZ ALUM BTL,24.69,,1,,,,,,,
071990300173,,COORS LIGHT 1/18/12OZ CAN - LP,24.69,,1,,,,,,,
071990300654,,COORS LIGHT 12/24OZ CAN,3.59,,12,,,,,,,
071990300692,,COORS LIGHT 2/12/12OZ BTL,19.79,,2,,,,,,,
071990000486,,COORS LIGHT 2/12/12OZ CAN,19.79,,2,,,,,,,
071990095284,,COORS LIGHT 2/12/16OZ CAN - LP,19.79,,2,,,,,,,
071990301040,,COORS LIGHT 2/9/16OZ ALUM BTL,19.29,,2,,,,,,,
071990300050,,COORS LIGHT 4/6/12OZ BTL,11.59,,4,,,,,,,
071990320003,,COORS LIGHT 4/6/16OZ CAN,12.79,,4,,,,,,,
080660956800,,CORONA EXTRA 1/18/12OZ BTL - LP,31.89,,1,,,,,,,
080660956411,,CORONA EXTRA 12/24OZ BTL,3.99,,12,,,,,,,
080660956435,,CORONA EXTRA 12/24OZ CAN,3.99,,12,,,,,,,
080660956152,,CORONA EXTRA 2/12/12OZ BTL - LP,22.59,,2,,,,,,,
080660956954,,CORONA EXTRA 2/12/12OZ CAN,22.59,,2,,,,,,,
080660956084,,CORONA EXTRA 24/12OZ HG LSE BTL - LP,38.49,,24,,,,,,,
080660956053,,CORONA EXTRA 4/6/12OZ BTL - LP,12.59,,4,,,,,,,
033544002117,,CORONA EXTRA 6/4/16OZ CAN - 9/90,8.99,,6,,,,,,,
033544001844,,CORONA EXTRA NA 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
033544000250,,CORONA FAMILIAR 12/24OZ CAN - 14/84,3.99,,12,,,,,,,
080660956831,,CORONA FAMILIAR 12/32OZ BTL - 8/40,5.09,,12,,,,,,,
033544950531,,CORONA FAMILIAR 2/12/12OZ BTL - 9/45,22.59,,2,,,,,,,
033544950517,,CORONA FAMILIAR 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
080660956251,,CORONA LIGHT 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
033544950470,,CORONA PREMIER 12/24OZ CAN - 14/112,3.99,,12,,,,,,,
033544950425,,CORONA PREMIER 2/12/12OZ BTL - 9/45,22.59,,2,,,,,,,
033544950418,,CORONA PREMIER 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
080660954080,,CORONITA EXTRA 24/7OZ HG BTL PARTYBOX - LP,27.29,,24,,,,,,,
080660954011,,CORONITA EXTRA 4/6/7OZ BTL - 12/72,10.29,,4,,,,,,,
089826300402,,DOS EQUIS LAGER LIME & SALT 12/24OZ CAN - 17/119,3.99,,12,,,,,,,
072311230186,,DOS EQUIS SPECIAL LAGER 1/18/12OZ BTL - 15/105,31.89,,1,,,,,,,
072311321242,,DOS EQUIS SPECIAL LAGER 12/24OZ CAN - 17/119,3.99,,12,,,,,,,
072311230124,,DOS EQUIS SPECIAL LAGER 2/12/12OZ BTL - 12/84,22.59,,2,,,,,,,
033544950609,,MODELO CHELADA LIMON Y SAL 12/24OZ CAN,3.99,,12,,,,,,,
033544001301,,MODELO CHELADA LIMON Y SAL 2/12/12OZ CAN,22.59,,2,,,,,,,
033544000267,,MODELO CHELADA MANGO Y CHILE 12/24OZ CAN,3.99,,12,,,,,,,
033544001585,,MODELO CHELADA NARANJA PICOSA 12/24OZ CAN,3.99,,12,,,,,,,
033544000809,,MODELO CHELADA PINA PICANTE 12/24OZ CAN,3.99,,12,,,,,,,
033544001875,,MODELO CHELADA SPICY SANDIA 12/24OZ CAN,3.99,,12,,,,,,,
033544001776,,MODELO CHELADA VRTY 2/12/12OZ CAN,22.59,,2,,,,,,,
033544950272,,MODELO ESPECIAL 1/18/12OZ BTL - LP,30.99,,1,,,,,,,
080660957111,,MODELO ESPECIAL 1/18/12OZ CAN - LP,28.39,,1,,,,,,,
080660957777,,MODELO ESPECIAL 12/24OZ BTL,3.99,,12,,,,,,,
080660957210,,MODELO ESPECIAL 12/24OZ CAN - 14/84,3.99,,12,,,,,,,
033544950906,,MODELO ESPECIAL 12/32OZ BTL - 8/40,5.09,,12,,,,,,,
080660957579,,MODELO ESPECIAL 2/12/12OZ BTL - LP,22.59,,2,,,,,,,
080660957159,,MODELO ESPECIAL 2/12/12OZ CAN - LP,21.49,,2,,,,,,,
080660957104,,MODELO ESPECIAL 24/12OZ SUIT CAN - LP,33.99,,24,,,,,,,
080660957654,,MODELO ESPECIAL 4/6/12OZ BTL - LP,12.59,,4,,,,,,,
033544002094,,MODELO ESPECIAL 4/6/12OZ CAN - 9/81,12.19,,4,,,,,,,
033544002100,,MODELO ESPECIAL 6/4/16OZ CAN - 9/56,8.99,,6,,,,,,,
080660957852,,MODELO NEGRA 4/6/12OZ BTL - 7/49,12.59,,4,,,,,,,
033544001653,,MODELO ORO 12/24OZ CAN - 14/112,3.99,,12,,,,,,,
033544001622,,MODELO ORO 2/12/12OZ CAN - 9/84,21.49,,2,,,,,,,
033544001608,,MODELO RANCH WATER 12/24OZ CAN - 14/112,3.99,,12,,,,,,,
033544001431,,MODELO RANCH WATER 4/6/12OZ CAN - 9/81,12.69,,4,,,,,,,
7.54527E+11,,NB VOODOO FRUIT FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
7.54527E+11,,NB VOODOO FRUIT FORCE IPA 4/6/12OZ CAN - 10/100,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO IMPERIAL IPA 15/19.2OZ CAN - 18/108,3.09,,15,,,,,,,
7.54527E+11,,NB VOODOO IMPERIAL IPA 4/6/12OZ BTL - 12/60,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO JUICE FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
7.54527E+11,,NB VOODOO JUICE FORCE IPA 4/6/12OZ CAN - 10/100,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO TROPIC FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
080660953052,,PACIFICO 12/32OZ BTL - 8/40,5.09,,12,,,,,,,
033544950319,,PACIFICO 2/12/12OZ CAN - 9/117,21.49,,2,,,,,,,
080660953014,,PACIFICO 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
8.59794E+11,,REVOLVER BLOOD & HONEY 4/6/12OZ BTL - 8/40,11.79,,4,,,,,,,
8.59794E+11,,REVOLVER BLOOD & HONEY 4/6/12OZ CAN - 7/70,11.79,,4,,,,,,,
8.50041E+11,,REVOLVER BLOOD & HONEY LIGHT 4/6/12OZ CAN - 7/70,11.79,,4,,,,,,,
088004040895,,SAZERAC FIREBALL CINNAMON 12/10/50ML BTL-18/108,10.69,,12,,,,,,,
088004040901,,SAZERAC FIREBALL CINNAMON 48/100ML BTL-14/140,2.69,,48,,,,,,,
088004044558,,SAZERAC FIREBALL CINNAMON 6/20/50ML BTL-6/24,19.99,,6,,,,,,,
088004040918,,SAZERAC FIREBALL CINNAMON 8/6/100ML BTL-14/140,2.69,,8,,,,,,,
088004032661,,SAZERAC FLASH POINT CINNAMON 24/187ML BTL-6/102,2.19,,24,,,,,,,
088004058784,,SAZERAC SOUTHERN COMFORT 12/10/50ML BTL-18/108,2.09,,12,,,,,,,
088004032623,,SAZERAC STROYSKI 24/187ML BTL-6/102 $2.09,2.09,,24,,,,,,,
088004059330,,SAZERAC TAAKA 12/10/50ML BTL-18/108 $2.09,2.09,,12,,,,,,,
088004032654,,SAZERAC VERA CRUZ RESERVA ESPECIAL 24/187ML BTL-6/102 $2.09,2.09,,24,,,,,,,
088573800029,,SHINER (S) PEACH WHEAT 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
088573433333,,SHINER BOCK 2/12/12OZ BTL-12/60,20.79,,2,,,,,,,
088573331080,,SHINER BOCK 2/12/12OZ CAN-12/96,20.79,,2,,,,,,,
088573331011,,SHINER BOCK 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
088573400021,,SHINER LIGHT BLONDE 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
8.10079E+11,,SIMPLY SPIKED LEMONADE VRTY 2/12/12OZ CAN-13/110,21.39,,2,,,,,,,
082000725695,,SMIRN ICE 12/24OZ BTL-15/60,3.99,,12,,,,,,,
082000723851,,SMIRN ICE 4/6/11.2OZ BTL-12/72,11.69,,4,,,,,,,
082000762126,,SMIRN ICE SCREWDRIVER 12/24OZ BTL-15/60,3.99,,12,,,,,,,
082000757481,,SMIRN ICE SCREWDRIVER 4/6/11.2OZ BTL-12/72,12.69,,4,,,,,,,
082000786252,,SMIRN SMASH PEACH MANGO 12/23.5OZ CAN-17/102,3.99,,12,,,,,,,
089826130283,,SOL CHELADA 12/24OZ CAN-17/120,3.99,,12,,,,,,,
078250003287,,STEEL RESERVE HIGH GRAVITY 12/24OZ CAN-14/98,2.99,,12,,,,,,,
078250003348,,STEEL RESERVE HIGH GRAVITY 12/42OZ BTL-10/50,3.69,,12,,,,,,,
7.8615E+11,,STELLA ARTOIS 4/6/11.2OZ BTL-8/56,12.59,,4,,,,,,,
021136180954,,TOPO CHICO LEMON LIME 12/24OZ CAN-17/102,3.99,,12,,,,,,,
8.10079E+11,,TOPO CHICO RANCH WATER 12/24OZ CAN-17/102,3.99,,12,,,,,,,
8.10079E+11,,TOPO CHICO RANCH WATER 2/12/12OZ CAN-13/110,21.39,,2,,,,,,,
021136180879,,TOPO CHICO VRTY 2/12/12OZ CAN - 10/110,21.39,,2,,,,,,,
087692018506,,TRULY PARTY VRTY 2/12/12OZ CAN-13/104,21.39,,2,,,,,,,
87692006862,,TRULY SPIKED BERRY VRTY 2/12/12OZ SLIM CAN-13/104,21.39,,2,,,,,,,
87692009917,,TRULY SPIKED LEMONADE VRTY 2/12/12OZ SLIM CAN-13/104,21.39,,2,,,,,,,
87692012993,,TRULY SPIKED MARGARITA VRTY 2/12/12OZ CAN-13/104,20.99,,2,,,,,,,
87692009702,,TRULY SPIKED PINEAPPLE 12/24OZ CAN-17/102,3.99,,12,,,,,,,
87692012276,,TRULY SPIKED PUNCH VRTY 2/12/12OZ CAN-13/104,21.39,,2,,,,,,,
87692009511,,TRULY SPIKED WILD BERRY 12/24OZ CAN-17/102,3.99,,12,,,,,,,
87692752318,,TWISTED TEA HALF & HALF 12/24OZ CAN-17/102,3.99,,12,,,,,,,
087692751342,,TWISTED TEA HALF & HALF 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692832317,,TWISTED TEA ORIGINAL 12/24OZ CAN-17/102,3.99,,12,,,,,,,
087692831341,,TWISTED TEA ORIGINAL 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692003786,,TWISTED TEA PARTY PACK 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692004905,,TWISTED TEA PEACH 12/24OZ CAN-17/102,3.99,,12,,,,,,,
033544950258,,VICTORIA 12/32OZ BTL -8/40,5.09,,12,,,,,,,
080660958835,,VICTORIA 2/12/12OZ BTL -9/45,22.59,,2,,,,,,,
033544950067,,VICTORIA 2/12/12OZ CAN -9/117,21.59,,2,,,,,,,
080660958811,,VICTORIA 4/6/12OZ BTL -9/45,12.59,,4,,,,,,,
089924770251,,YUENGLING FLIGHT 2/12/12OZ SLIM CAN-11/110,21.49,,2,,,,,,,
089924770145,,YUENGLING FLIGHT 4/6/12OZ BTL-8/64,11.99,,4,,,,,,,
089924600244,,YUENGLING LAGER 12/24OZ CAN - 14/98,3.59,,12,,,,,,,
089924278962,,YUENGLING LAGER 2/12/12OZ BTL - 8/56,19.79,,2,,,,,,,
089924278986,,YUENGLING LAGER 2/12/12OZ CAN - 15/105,19.79,,2,,,,,,,
089924278917,,YUENGLING LAGER 4/6/12OZ BTL - 8/64,11.49,,4,,,,,,,
